Date,NDataTimes,MeanWL,MinWL,MaxWL,MeanQin,MinQin,MaxQin,MeanSeaLevel,MinSeaLevel,MaxSeaLevel,MeanWaveHs,MinWaveHs,MaxWaveHs,MeanHsOffshore,MinHsOffshore,MaxHsOffshore,MeanWaveTs,MinWaveTs,MaxWaveTs,MeanWavePower,MinWavePower,MaxWavePower,MeanEAngle_Offshore,MinEAngle_Offshore,MaxEAngle_Offshore,MeanLST,MinLST,MaxLST,MeanRunup1,MinRunup1,MaxRunup1,MeanRunup2,MinRunup2,MaxRunup2,MeanR_high1,MinR_high1,MaxR_high1,MeanR_high2,MinR_high2,MaxR_high2,MeanQout,MinQout,MaxQout,MeanVolume,MinVolume,MaxVolume
04/09/2016,97,1.08368041237113,0.942,1.461,52.1049747422681,50.5726,52.9726,0.270712819084219,-0.504613266494099,0.949946615905573,1.37639175257732,1.26,1.59,1.49511576188987,1.3369635052189,1.66805312244899,5.18613402061856,4.38,6.13,6723.57621103279,4829.13124955903,8077.22810881352,-22.8650680113074,-28.8565761007988,-10.3860735442873,-0.00120979458757088,-0.00148027813019954,-0.000652925474149657,0.883480821074214,0.732452602788122,1.09399172799275,1.37709049422951,1.09126263293609,1.74857402741985,1.15419364015843,0.258538002793845,1.97787928652498,1.64780331331372,0.669255676856427,2.57920931112645,51.9813160353054,41.3153932760354,55.0101899931145,101856.638271443,85862.5185400173,146276.327476821
05/09/2016,97,1.19029896907216,1.016,1.523,69.8076664948453,50.3014,93.436,0.0929661877756759,-0.633377002111275,0.848965612253636,1.34319587628866,1.2,1.45,1.46774696199499,1.32207041250775,1.59160017156097,5.97175257731959,4.64,6.49,6696.35709672535,5209.37892659895,8070.86669147027,-2.01375553335146,-23.6767150115885,11.1691929164346,-8.94973030843974e-05,-0.00137228446324277,0.000552965520750963,1.0203046543126,0.756920021823705,1.1614774362406,1.55516061973464,1.1561302038735,1.8249309230552,1.11327084208828,0.125825213152766,1.98847904258734,1.64812680751031,0.523679857701457,2.62646093283078,69.713172158219,46.0010137770853,96.034110670487,114101.106648974,93981.1906282001,153981.342255785
06/09/2016,97,1.21267010309278,1.026,1.478,89.1752747422681,83.0476,93.436,0.208339806256709,-0.411939154028566,0.837679431300157,1.23154639175258,1.13,1.31,1.3034959748408,1.1574270848484,1.44028163865828,4.69046391752577,3.95,6.2,5684.85058687741,4853.29034372285,6532.63869620955,12.8679083762063,9.03948868075137,14.718984597446,0.000680283919567675,0.000494466360962204,0.00082509184926274,0.738877758432855,0.582851751633891,1.05016606386362,1.08440419783915,0.807715640978238,1.57763622512482,0.947217564689565,0.316586288294724,1.50245370369457,1.29274400409586,0.649173160254973,1.82868753808396,89.1691496815038,77.0385025839973,96.6482090722161,116691.710139715,95092.3716534275,148379.772741605
07/09/2016,97,1.34445360824742,1.038,1.961,78.9758608247422,76.2075,83.0476,0.257815494666038,-0.365361900516625,0.867209023549531,1.79783505154639,1.13,2.45,1.90351728073945,1.1574270848484,2.70868600981477,4.13773195876289,3.11,5.33,12048.8846354031,4275.43566198668,23802.6609833861,28.2452314009949,9.03948868075137,34.3965416582313,0.00280930019760887,0.000499406965896584,0.0045081622861804,0.804241819307114,0.501855834293874,1.21664384714547,1.47005026558832,0.722321996030007,2.55066621572306,1.06205731397315,0.144726343976855,1.9345818907282,1.72786576025435,0.35713054774379,3.17938265384174,78.0879784758127,63.9453319237778,86.2852634532995,133064.280313313,96429.9833255349,211016.240672792
08/09/2016,97,1.99609278350516,1.597,2.496,77.6685716494845,76.1836,78.8596,0.365598067687439,-0.336615165416579,1.01117903261146,2.64896907216495,2.41,2.82,2.93504003456216,2.65248995834065,3.12829117948852,6.12659793814433,5.33,6.42,29201.3275326687,23557.5938888655,33467.4990052526,21.2897998936977,14.8371333556555,30.1541402888804,0.00312956584994724,0.00188817928144021,0.00420838430610851,1.48069091857713,1.21664384714547,1.61013456257237,3.18149115576737,2.55066621572306,3.54099509792244,1.84628898626457,1.03316202063119,2.61433104433377,3.54708922345481,2.55014299255744,4.54233338315305,76.9060326336525,63.6639436659749,83.7618492606004,216689.232754365,163297.850478326,287750.572616616
09/09/2016,97,2.24916494845361,1.874,2.672,73.0019494845361,69.7098,76.1836,0.217827583254778,-0.342327554539583,0.82304167293404,2.29907216494845,2.17,2.41,2.52479372807141,2.37821632976771,2.65248995834065,6.08298969072164,5.99,6.14,21436.9801990282,18928.4816926259,23557.5938888655,10.1876174956713,6.09445389816811,14.8371333556555,0.00121212405166013,0.000662080352072404,0.00188817928144021,1.35883478773352,1.29609655517109,1.39136344488905,2.71359444785934,2.51678394815889,2.82578305659256,1.5766623709883,0.994745032530703,2.20803865310232,2.93142203111412,2.28660980603354,3.61991858697388,72.8180300385142,57.1343402035056,82.9253517939764,252001.856440715,199326.207269805,315510.928828099
10/09/2016,97,2.23558762886598,1.977,2.541,69.8989541237113,66.7826,71.9505,0.0228664136842157,-0.523155213569233,0.62138637291338,1.7439175257732,1.35,2.17,1.90416908452534,1.45366358208909,2.37821632976771,5.70175257731959,5.11,5.99,12234.6831609959,7023.10561255413,18928.4816926259,4.54937850475925,2.45791665860751,6.09445389816811,0.000380842974436874,0.000141847557745457,0.000662080352072404,1.09468278067488,0.848259008464032,1.29609655517109,1.92224569314316,1.31235873647139,2.51678394815889,1.1175491943591,0.556185585051196,1.80305060227201,1.94511210682738,1.24615400865024,3.02373799525982,70.4751325320258,61.8584575613826,75.5107934893681,249617.805305154,213185.530449837,294710.941510077
11/09/2016,97,2.00812371134021,1.811,2.196,69.2583407216495,66.6452,71.4555,0.0348353744767421,-0.589185415376545,0.676632881194929,1.03737113402062,0.9,1.35,1.12310211318072,0.972203847086123,1.45366358208909,5.38417525773196,4.92,6.05,4054.59317076937,2968.5472061311,7023.10561255413,-1.64143896424494,-7.47326746807923,2.45791665860751,-3.59429100475782e-05,-0.00021201829286486,0.000141847557745457,0.788157524629049,0.701735288587514,0.866327889156735,1.06196886941397,0.886287844749369,1.31235873647139,0.822992899105791,0.173012234343026,1.47864116137038,1.09680424389071,0.493504916143537,1.79853665755963,69.8406548415922,66.0519064484211,72.2916989791951,217561.233942894,190972.442558371,243540.143833454
12/09/2016,97,1.78123711340206,1.672,1.875,69.5813927835052,65.817,72.2155,0.118359074185812,-0.510625559622391,0.802862892803968,0.967422680412371,0.9,1.02,1.02985642813652,0.973463049680659,1.07608936111859,4.81927835051546,3.64,5.36,3426.3250891076,2981.09334925864,3772.16548996921,-8.70120101511343,-12.4088433714951,0.436829675875771,-0.000290526741809489,-0.000428178973403097,1.86536078356582e-05,0.673532771795945,0.513172761172507,0.764677835830618,0.877290005103753,0.6649425533094,1.01074115409233,0.791891845981756,0.107663650321733,1.56544619623799,0.995649079289564,0.283282185259819,1.81328545029614,69.7688757144476,65.46391708551,72.5490618600124,187090.408906643,172873.223230689,199459.562068794
13/09/2016,97,1.68661855670103,1.633,1.752,66.9322664948454,65.5531,68.0058,0.128656037710209,-0.526379217859957,0.850927144149922,0.912474226804123,0.81,1.03,0.91879391688963,0.813091632512274,1.04275809723112,3.35886597938144,3.2,3.64,2500.6363225781,1997.63681387465,3168.82664728777,7.1912793392027,0.436829675875771,13.6377686342664,0.000262503993740371,1.86536078356582e-05,0.000525679568550561,0.448342079251141,0.40333811331631,0.513322407130817,0.546671774420745,0.46111821754585,0.664977817002223,0.57699811696135,-0.0667302730184815,1.29435807849378,0.675327812130953,-0.00277622290722596,1.38218278304403,67.0027778228621,64.4875919380796,68.6966126072604,174767.780233177,167877.343209705,183234.140591339
14/09/2016,97,1.68496907216495,1.634,1.799,68.3808247422681,65.1106,70.33475,0.163414557398358,-0.553587939581701,0.947587372597684,1.15979381443299,0.88,1.32,1.21635050918189,0.884028907520682,1.43973626699624,4.36489690721649,3.26,5.33,5438.89193518912,2468.01640730162,7489.04327445151,20.5960876037411,13.6377686342664,23.110271734128,0.00109980312016114,0.000525679568550561,0.00130299388382806,0.666954670275713,0.426868752123947,0.884733984735966,0.951190948706069,0.509157121805002,1.35574468302056,0.830369227674071,0.0890151475455486,1.62137233586133,1.11460550610443,0.361384651922463,1.9155021685489,68.2622314143799,63.8154834308406,70.6428840673027,174564.607222468,168004.991252682,189391.880069173
15/09/2016,97,2.02259793814433,1.707,2.319,61.7502103092783,58.7524,65.1106,0.170929492518946,-0.615553081280414,0.982317083899897,1.51829896907216,1.32,1.65,1.59114064497595,1.43973626699624,1.73263051715435,4.42113402061856,4.09,5.33,8568.8868492743,7489.04327445151,10105.3804228098,17.4497741768572,11.8057780153228,23.0912438959009,0.00133221246709032,0.000914355743076893,0.00153932966931747,0.769485114612607,0.702597553764036,0.884733984735966,1.2408749998947,1.1183529870817,1.3621775756939,0.940414607131552,0.137392267333223,1.76718571991655,1.41180449241364,0.60134170241862,2.29411604041335,61.2166244589546,52.5725747862445,65.6487980961586,219737.198217836,177387.451186041,261241.71350652
16/09/2016,97,2.26459793814433,2.05,2.454,58.021662371134,56.4364,73.2158,0.283238935062208,-0.516370489245802,1.14925121657357,1.32484536082474,1.18,1.51,1.41234674584886,1.26503176227466,1.57093062226825,4.87309278350515,4.21,5.23,6584.42480228454,5331.3282558612,8134.80351925333,6.14127436447414,3.71683117163558,11.8057780153228,0.000369041204277355,0.000202378922886352,0.000914355743076893,0.796257892298701,0.726385912351105,0.843760526797627,1.21128481239604,1.10936341601287,1.27014442810778,1.07949682736091,0.28689136962452,1.99053941075575,1.49452374745825,0.632529901140023,2.40794630299354,57.7367885132192,50.4629064992482,70.6801843707523,253516.104966117,223160.223285759,281338.496292494
17/09/2016,97,2.04419587628866,1.323,2.936,145.927030927835,73.2158,169.2526,0.264347521136982,-0.609376257575723,1.12661385803755,1.03087628865979,0.84,1.2,1.11143080068838,0.907446171587418,1.27922226176381,5.34840206185567,4.66,6.39,4248.81974292162,2831.74925049738,5558.09144168174,13.8485948709442,8.97425097449495,17.6734794422388,0.000497684016955586,0.000356663907380355,0.000565087410054213,0.778489430364648,0.679036708712014,0.931583624257807,1.04233666446767,0.830459368284761,1.20951281162037,1.04283695150163,0.105319259489365,2.05636562279387,1.30668418560465,0.263904512833211,2.32700212891602,147.267394005192,70.6801843707523,175.008579649558,225830.057325775,129470.762996525,359871.941722892
